ID_TRANSMISION,FECHA,NOMBRE_COMPLETO,IDIOMA,PATROCINADO,RANGO,MODOS_JUEGOS,GENEROS_JUEGOS,CATEGORIAS_JUEGOS,JUEGOS,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES
ID_TRANS_000045,2022-09-06,follow4ce,Russian,Con Patrocinador,Aficionado,Multijugador en Línea,Estrategia,MOBA,Dota 2,75705,136,11249085,337632,11190
ID_TRANS_000043,2022-09-06,miabyte,English,Con Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG de Acción,Warframe,71655,122,9411915,624693,20135
ID_TRANS_000042,2022-09-06,Okonaye,French,Con Patrocinador,Novato,Multijugador en Línea,Estrategia,MOBA,League of Legends,46320,211,10239735,309460,41778
ID_TRANS_000041,2022-09-06,fluyr,Portuguese,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,VALORANT,137625,273,44916855,1488736,152190
ID_TRANS_000040,2022-09-06,AR12Gaming,English,Con Patrocinador,Experto,"Un jugador, Multijugador en Línea",Deporte,Deportes,Forza Horizon 4,22125,643,14165940,354321,247262
ID_TRANS_000044,2022-09-06,ussrkhal,Russian,Sin Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG,World of Warcraft,57630,211,12252555,358825,7713
ID_TRANS_000038,2022-09-06,ZeplaHQ,English,Con Patrocinador,Novato,Multijugador en Línea,RPG,MMORPG,FINAL FANTASY XIV Online,53370,414,22596255,547661,48787
ID_TRANS_000037,2022-09-06,TeamVASH,English,Con Patrocinador,Novato,Multijugador en Línea,Acción,Battle Royale,Fortnite,322110,79,25984680,345157,58353
ID_TRANS_000036,2022-09-06,RiffTrax,English,Con Patrocinador,Avanzado,Transmisión en Vivo,Variado,Variado,Just Chatting,521115,556,289877850,2614841,81096
ID_TRANS_000035,2022-09-06,TheExaL04,Spanish,Con Patrocinador,Experto,Multijugador en Línea,Acción,Battle Royale,Fortnite,12960,1031,14910855,584124,233158
ID_TRANS_000034,2022-09-06,Jack,English,Con Patrocinador,Novato,"Un jugador, Multijugador en Línea",Aventura,Aventura/Sandbox,Grand Theft Auto V,94935,287,30473160,444557,38907
ID_TRANS_000039,2022-09-06,janix,English,Con Patrocinador,Aficionado,"Un jugador, Multijugador en Línea",Aventura,Aventura/Sandbox,Grand Theft Auto V,49095,260,12388890,180726,22278
ID_TRANS_000055,2022-09-07,AorusLeague,Spanish,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Counter-Strike: Global Offensive,6000,1928,12412275,476403,46169
ID_TRANS_000054,2022-09-07,CRACKHEBER,Spanish,Con Patrocinador,Aficionado,"Un jugador, Multijugador en Línea",Deporte,Deportes,FIFA 20,52455,248,14048955,164831,20661
ID_TRANS_000053,2022-09-07,SnakeBite,English,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Halo: The Master Chief Collection,74535,131,10480440,208578,31542
ID_TRANS_000052,2022-09-07,Mad_Ruski,English,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Escape From Tarkov,48045,169,9415995,278988,37246
ID_TRANS_000051,2022-09-07,FuzeIII,French,Con Patrocinador,Experto,"Un jugador, Multijugador en Línea",Aventura,Aventura/Sandbox,Minecraft,3645,3414,11975295,316032,233375
ID_TRANS_000050,2022-09-07,발리폭스버경족보 (whrqh1),Korean,Sin Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG,Lineage: The Blood Pledge,346335,45,17102850,261513,1142
ID_TRANS_000048,2022-09-07,Mr_morjus,Russian,Con Patrocinador,Aficionado,Multijugador en Línea,Estrategia,MOBA,League of Legends,138885,64,9295590,209896,13266
