FECHA,NOMBRE_COMPLETO,IDIOMA,RANGO,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES,CATEGORIA_1
2022-09-09,GeeOhmTV,French,Aficionado,114840,95,10740690,219285,10690,Bleach: Brave Souls
2022-09-09,지니어스매드 (genius_mad),Korean,Aficionado,136875,358,49366665,2115865,13973,Path of Exile
2022-09-09,SkipNhO,Portuguese,Experto,140145,4051,606322560,15008051,1125122,Call Of Duty: Modern Warfare
2022-09-09,luxxbunny,English,Experto,76200,269,23135910,994274,173731,League of Legends
2022-09-09,APlatypuss,English,Avanzado,85890,116,11065845,758590,65993,Destiny 2
2022-09-09,yowatchmewin,Italian,Aficionado,74115,211,15693360,275983,8544,Poker
2022-09-09,TheRealMarzaa,Italian,Experto,93045,1658,157014405,3036560,551735,Fortnite
2022-09-09,Norby,French,Novato,133155,139,19510485,360163,48393,Fortnite
2022-09-09,Chachatoy,French,Novato,114045,93,11545410,1433750,25463,League of Legends
2022-09-09,SirSalty,English,Aficionado,48375,373,19726200,419489,8630,Hearthstone
2022-09-10,Khaldor,English,Avanzado,61305,536,37531200,866304,102280,Heroes of the Storm
2022-09-10,쫀지 (rozh3600),Korean,Aficionado,142755,132,18600795,496447,4404,LOST ARK
2022-09-10,Gaston,Spanish,Avanzado,51615,443,22082685,841975,92428,Fortnite
2022-09-10,ProgettoGaming,Italian,Aficionado,141615,64,9581190,1137211,7785,ARK: Survival Evolved
2022-09-10,GuilleGiles,Spanish,Avanzado,20235,1351,21196650,955346,117196,Just Chatting
2022-09-10,coscu,Spanish,Experto,80520,10202,717634035,22695224,2132571,League of Legends
2022-09-11,LillyVinnily,English,Novato,53730,174,9411060,247478,30908,Just Chatting
2022-09-11,VorticoseLine75,English,Novato,123165,214,27827025,587415,25543,Warframe
2022-09-11,tonkaaaaP,English,Avanzado,4305,3079,13436895,259876,104533,Poker
2022-09-11,yoslayer0,Spanish,Novato,20430,445,9567840,122194,36406,Fortnite
2022-09-11,neeko,English,Experto,45900,1011,36931875,3232948,270543,Just Chatting
2022-09-12,Bonjwa,German,Avanzado,254580,1882,498938310,13966704,126298,Unlisted on Twitch
2022-09-12,xandfps,Portuguese,Avanzado,66480,684,47896320,1343510,74217,VALORANT
2022-09-12,Apocalypto_12,English,Avanzado,68355,196,15697515,432584,72690,Marbles On Stream
2022-09-12,ryux,Spanish,Experto,117495,611,77725980,2724370,382236,Fortnite
2022-09-12,쉐리 (kss7749),Korean,Experto,97560,2371,252974775,6440917,172045,Just Chatting
2022-09-12,DreamHackCS,English,Experto,236535,5957,868180170,24193613,1814756,Counter-Strike: Global Offensive
2022-09-12,FrostPrime_,English,Novato,102330,189,20255580,391505,52269,League of Legends
2022-09-12,쏘담냥 (sso_dam),Korean,Novato,114015,138,16249860,1246989,31051,Just Chatting
2022-09-12,Blizy,English,Novato,54405,110,12019920,257116,38454,VALORANT
2022-09-12,Dex_tv,Italian,Avanzado,138990,423,62516415,759153,68472,FIFA 20
2022-09-12,TooseFN,Russian,Experto,35580,1477,52797375,3692531,207882,Fortnite
2022-09-12,NorkDorf,English,Novato,70860,209,15523920,121887,30450,Battlefield V
2022-09-13,AladdinTV,German,Avanzado,136425,1346,186850290,4196779,111256,Grand Theft Auto V
2022-09-13,DioudLoL,Portuguese,Experto,29040,326,10037025,350517,167382,League of Legends
2022-09-13,수련수련 (sooflower),Korean,Experto,86550,1187,100279590,10208360,194334,Just Chatting
2022-09-13,ESL_CSGO,English,Experto,517965,9249,4764929775,126008641,4195657,Counter-Strike: Global Offensive
2022-09-13,bpblives,Portuguese,Avanzado,930,8856,9494325,302103,74371,Unlisted on Twitch
2022-09-13,TheDigitalLink,English,Aficionado,439860,35,17111640,242132,7842,Just Chatting
2022-09-13,Noserino,German,Novato,139410,202,29604645,2228903,28552,Overwatch
2022-09-13,BigNeo,French,Novato,130875,168,22079640,306516,30832,Call Of Duty: Modern Warfare
2022-09-13,유튜브스팁 (ytsteveb),Korean,Aficionado,27855,596,17883840,203637,6552,VALORANT
2022-09-14,ESL_CSGO_FR,French,Experto,70455,2448,156837975,4981756,199617,Counter-Strike: Global Offensive
2022-09-14,NGKShodaime,French,Aficionado,77115,111,9478815,168050,11040,League of Legends
2022-09-14,Snoopyk70,Russian,Aficionado,82725,143,11744850,495532,19441,VALORANT
2022-09-14,Global_Citizen,English,Aficionado,735,36565,18668025,6163470,8117,Music
2022-09-14,CaptainRichard,English,Novato,61185,320,20341845,875108,30084,Star Citizen
2022-09-14,나락호프 (asdn6388),Korean,Aficionado,163095,85,17163585,416900,18512,Retro
2022-09-14,Maximilian_DOOD,English,Experto,107985,9564,1040839515,15617768,852125,Call Of Duty: Modern Warfare
2022-09-14,KheZu,English,Avanzado,134655,928,134687820,2698890,124634,Dota 2
2022-09-14,RevedTV,German,Experto,76215,1543,123732150,3870178,277097,Just Chatting
2022-09-14,MeeresTV,English,Aficionado,56730,235,12025815,557006,23660,World of Warcraft
2022-09-15,Tomorrowland,English,Novato,210600,274,24273720,5008757,29673,Music
2022-09-15,Willokhlass,French,Experto,87510,332,30762045,3267943,207143,Just Chatting
2022-09-15,IlBertra,Italian,Avanzado,39915,327,14804985,304276,68509,Just Chatting
2022-09-15,Nikolarn,English,Experto,121500,2721,319932180,5873637,508563,VALORANT
2022-09-15,즐디 (zledihs),Korean,Novato,109935,103,11309235,198179,28035,Hearthstone
2022-09-16,bang,Korean,Experto,13395,1255,17948790,978376,369847,League of Legends
2022-09-16,S04TimLatka,German,Avanzado,21600,934,20671410,319454,68131,FIFA 20
2022-09-16,Squillakilla,English,Avanzado,87930,818,71629035,1351172,140871,Dark Souls III
2022-09-16,swimstrim,English,Avanzado,106950,1605,181956135,5842318,145081,Legends of Runeterra
2022-09-16,YuriJoa,English,Avanzado,77025,799,57639150,3665369,84830,Just Chatting
2022-09-16,alexelcapo,Spanish,Experto,68355,6646,448325160,14229432,705599,Minecraft
2022-09-16,purpgamingg,English,Aficionado,52185,153,9406200,2312289,10571,Fortnite
2022-09-16,ChrisRM22,English,Aficionado,70740,116,9450105,148681,18246,FIFA 20
2022-09-16,jessutv,English,Novato,29175,570,22309830,590991,41706,Music
2022-09-16,Cliffy,English,Novato,119670,143,18170265,354307,29811,Super Mario Maker 2
2022-09-17,Dekarldent,German,Avanzado,71265,2015,144661185,1829085,67944,Just Chatting
2022-09-17,susu_jpg,English,Avanzado,24690,397,9594780,447201,71998,Just Chatting
2022-09-17,Wingsofdeath,English,Experto,146055,1329,203470560,2437733,473372,League of Legends
2022-09-17,단장002 (dxj002),Korean,Aficionado,50280,211,12478830,675342,21713,Just Chatting
2022-09-17,SmashFactorGaming,Spanish,Aficionado,118395,155,19738605,4894677,15659,Super Smash Bros. Ultimate
2022-09-17,lol_Gosha,Russian,Aficionado,97485,111,11998575,554174,14297,Lineage II: The Chaotic Throne - The 1st Throne: The Kamael
2022-09-17,13tvhd,English,Aficionado,59295,447,25897740,1217964,569,Unlisted on Twitch
2022-09-17,golden_richardtv,English,Novato,114135,657,70258590,59411,52396,Fortnite
2022-09-18,dota2mc_ru3,Russian,Novato,11955,4476,56643525,4196970,57943,Dota 2
2022-09-18,brlkgames,Portuguese,Novato,84570,72,9568770,426399,52974,Just Chatting
2022-09-18,cogu,Portuguese,Experto,111345,745,89656560,3601467,165203,Counter-Strike: Global Offensive
2022-09-18,UMotivoMTG,Portuguese,Aficionado,56325,212,12517155,291892,22115,Magic: The Gathering
2022-09-18,NerdEngenheiro,Portuguese,Avanzado,67965,281,19633380,461084,94114,Tom Clancy
2022-09-18,JavifC,Spanish,Aficionado,119835,94,12049830,289321,7980,Black Desert Online
2022-09-18,thedragonfeeney,English,Avanzado,103440,794,83205540,2291576,92244,Super Mario Maker 2
2022-09-18,simarchy,English,Novato,97170,202,20894835,1205716,26113,Animal Crossing: New Horizons
2022-09-18,Salvyyy,English,Aficionado,66180,331,23050710,472817,15664,Teamfight Tactics
2022-09-19,puncayshun,English,Avanzado,66480,236,16003995,1067483,100429,Super Mario 64
2022-09-19,AsmodaiTV,English,Experto,137925,2694,377696580,6494618,249710,Hearthstone
2022-09-19,Clintus,English,Novato,106995,164,17395050,3526842,55323,Destiny 2
2022-09-19,GoodTimesWithScar,English,Experto,6285,4355,26135175,486406,200571,Minecraft
2022-09-19,TheLoyalPatriot,English,Avanzado,95025,233,22276530,288678,70277,DayZ
2022-09-19,SleepBoy,Russian,Aficionado,100965,129,15943125,50073,1230,Just Chatting
2022-09-19,iamelisabete,English,Novato,65070,195,15765570,594862,52478,ASMR
2022-09-19,IngredyBarbi,Portuguese,Experto,39930,1876,76499010,1668012,262916,Garena Free Fire
2022-09-19,calango,Portuguese,Experto,87600,2117,187670370,5125271,888015,Just Chatting
2022-09-19,arionfoxtv,Portuguese,Aficionado,60765,275,17216235,63542,1314,Unlisted on Twitch
2022-09-19,JoshOG,English,Experto,156735,3018,513872070,23086165,1742509,Call Of Duty: Modern Warfare
2022-09-20,NeckoLol,Spanish,Avanzado,19050,629,12388950,512491,113838,League of Legends
2022-09-20,berribae,Spanish,Avanzado,37500,680,24119505,1451696,69965,Just Chatting
2022-09-20,Scxrlet64,English,Novato,67845,173,12518850,753357,38552,Just Chatting
2022-09-20,AngoryTom,English,Novato,19095,643,12583290,269658,37140,RimWorld
2022-09-20,Vieparlafoi,English,Novato,64755,165,11461215,3299608,49158,Animal Crossing: New Horizons
2022-09-20,ZakvielChannel,Russian,Avanzado,59940,1186,75451065,1419679,111321,Minecraft
2022-09-20,sector_esports,Russian,Aficionado,10800,2162,22595790,1896197,16205,Counter-Strike: Global Offensive
2022-09-21,RelaxBeats,English,Experto,519570,227,118640445,1136744,176798,Music
2022-09-21,NLCLoL,English,Novato,22140,966,22881855,3916058,40212,League of Legends
2022-09-21,INFILTRATION85,Korean,Avanzado,16275,585,11127480,322339,69601,Granblue Fantasy: Versus
2022-09-21,마린22 (marin000),Korean,Avanzado,58425,613,38430150,1444405,90875,League of Legends
2022-09-21,TrulyTenzin,English,Aficionado,81870,133,11784990,407582,21219,League of Legends
2022-09-21,ZeRoyalViking,English,Avanzado,57210,334,20863800,327305,76035,Minecraft
2022-09-22,ArtsyVRC,English,Novato,46695,284,13061490,316422,44652,VRChat
2022-09-22,Capp,English,Novato,51195,556,33672000,355429,27049,Grand Theft Auto V
2022-09-22,Dashy,English,Experto,30165,1312,45665145,3331592,190124,Call Of Duty: Modern Warfare
2022-09-22,노력왕먼치 (munchikinhwa),Korean,Novato,208875,113,24307020,924082,34070,MapleStory
2022-09-22,LiNkzr,English,Avanzado,100110,288,30567030,643126,81245,Overwatch
2022-09-22,모잉이_ (kr_elice),Korean,Avanzado,58620,335,19039950,1114585,70437,Just Chatting
2022-09-22,QuickyBaby,English,Experto,111135,2287,258302955,5553918,422157,World of Tanks
2022-09-22,Arthur_Lanches,Portuguese,Avanzado,16740,729,13238685,504042,81144,League of Legends
2022-09-22,파카9999 (paka9999),Korean,Avanzado,40575,3451,139833435,3175476,89688,League of Legends
2022-09-23,Kazu_O,French,Aficionado,105780,102,11256165,233764,12968,Summoners War: Sky Arena
2022-09-23,헤징 (hejin0_0),Korean,Avanzado,118800,1088,128802120,6146870,130634,League of Legends
2022-09-23,dersin2k,Portuguese,Avanzado,88410,298,30123180,1041168,74131,League of Legends
2022-09-23,itsShayton,Spanish,Avanzado,173535,206,37320285,3296945,77774,VALORANT
2022-09-23,chocoTaco,English,Experto,158025,3771,584504355,22581039,1157747,PLAYERUNKNOWN
2022-09-23,Deepshades,English,Novato,39765,356,13088625,547744,56210,World of Warcraft
2022-09-23,Roidie,English,Novato,99450,481,47564085,861049,33235,Old School RuneScape
2022-09-23,ElLeon,English,Avanzado,140520,312,46456665,1598277,63432,SMITE
2022-09-24,Day9tv,English,Experto,60870,2149,132085485,2280894,498257,Magic: The Gathering
2022-09-24,brak2K,French,Avanzado,55530,434,22761840,510231,79399,FIFA 20
2022-09-24,Fizz_XI,English,Avanzado,94125,110,11526885,175165,60059,Call Of Duty: Modern Warfare
2022-09-24,bigbmusic247,English,Aficionado,71085,150,11995995,713461,1477,Music
2022-09-24,CyberLiveArena1,English,Aficionado,286305,245,78473520,24318386,12223,FIFA 20
2022-09-24,eaJParkOfficial,English,Avanzado,1650,7429,12064575,319709,106360,Just Chatting
2022-09-24,gafallen,Portuguese,Experto,14160,6954,76822725,3993831,986521,Counter-Strike: Global Offensive
2022-09-24,UnknowMySkillTV,French,Avanzado,60765,217,14145360,508825,139951,Fortnite
2022-09-24,GCDTV,English,Novato,8040,1723,13829055,1276692,59051,World of Warcraft
2022-09-24,Lepandaman,French,Novato,45735,421,19028610,397991,45328,Just Chatting
2022-09-25,Sertuss,German,Novato,56355,389,22870215,511270,37849,League of Legends
2022-09-25,Allen,Russian,Novato,21120,801,19153860,89712,42444,Call Of Duty: Modern Warfare
2022-09-25,HugoDelire,French,Avanzado,10785,1009,10931205,373015,106781,Just Chatting
2022-09-25,robertpg,Spanish,Experto,4395,7082,31693065,690638,323824,FIFA 20
2022-09-25,CRACKHEBER,Spanish,Aficionado,52455,248,14048955,164831,20661,FIFA 20
2022-09-26,TigerWriter,English,Avanzado,80865,152,13217100,243354,94605,Just Chatting
2022-09-26,YAR_ki,Russian,Novato,167910,469,83436255,5036046,26859,Heroes of Might and Magic III: The Shadow of Death
2022-09-26,SparkeRcs,Italian,Aficionado,56625,170,10219995,713894,8647,VALORANT
2022-09-26,DorkanTV,Spanish,Novato,105090,92,9479700,298307,28279,Fortnite
2022-09-26,sneakylol,English,Experto,202605,6637,1311964815,19642877,1685773,League of Legends
2022-09-26,Lulaboo,English,Novato,53175,167,10387200,904384,31227,Food & Drink
2022-09-26,Nahj,English,Novato,41580,215,10233000,333300,36102,World of Warcraft
2022-09-26,Bwipolol,English,Avanzado,5250,2474,13461630,447390,75624,League of Legends
2022-09-27,Th3Jez,English,Avanzado,22785,937,21346275,375013,140455,Destiny 2
2022-09-27,osulive,English,Experto,17970,1121,21545130,998389,175794,osu!
2022-09-27,Treebeard,English,Novato,162285,131,24963495,288657,25574,Teamfight Tactics
2022-09-27,BRACUBI,Portuguese,Novato,110340,153,17860335,1404812,37475,Dota 2
2022-09-27,Xednim,English,Novato,141735,267,40405545,537871,44984,Apex Legends
2022-09-27,trickygym,English,Aficionado,69705,209,15549420,196403,14370,Pokémon Trading Card Game Online
2022-09-27,Everyeyeit,Italian,Avanzado,143400,1366,219766770,60617571,95760,Just Chatting
2022-09-27,Carreraaa,Spanish,Experto,37455,2076,86059125,2585008,365390,Just Chatting
2022-09-27,A_Jaxx,English,Avanzado,105315,93,10768350,125998,66151,VALORANT
2022-09-27,M1NDR,English,Avanzado,86430,234,21411750,460433,86581,DayZ
2022-09-28,김나는 (kimnaa324),Korean,Aficionado,98535,112,11392455,648968,7754,World of Warcraft
