FECHA,NOMBRE_COMPLETO,IDIOMA,RANGO,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES,CATEGORIA_1
2022-09-12,Papaplatte,German,Experto,115290,9633,1135320630,23684348,951447,Just Chatting
2022-09-13,roboolol,Portuguese,Avanzado,20790,2133,46352805,1556901,141978,League of Legends
2022-09-13,riserise,Russian,Aficionado,62865,140,9161415,360703,8746,Dota 2
2022-09-13,dhtekkz,English,Experto,21945,2208,51831270,1530289,251775,FIFA 20
2022-09-13,esl_asia,English,Aficionado,11790,1922,19779450,1019008,18076,Dota 2
2022-09-13,lolpacific,English,Aficionado,21285,897,20867745,1009803,10324,League of Legends
2022-09-13,DalasReview,Spanish,Experto,33600,2104,74573670,2339821,570542,Minecraft
2022-09-13,Flight23white,English,Experto,23190,11269,263429115,2663752,1066294,NBA 2K20
2022-09-13,diegoplay10s,Spanish,Novato,37965,242,9189765,142080,27798,Garena Free Fire
2022-09-13,Dizeliun,English,Novato,57525,262,16169115,38063,52361,Cuisine Royale
2022-09-13,GoToCent,English,Aficionado,15990,989,15917625,502655,5720,Unlisted on Twitch
2022-09-13,AladdinTV,German,Avanzado,136425,1346,186850290,4196779,111256,Grand Theft Auto V
2022-09-14,TSM_Viss,English,Experto,108015,2301,251902320,5904376,767073,Apex Legends
2022-09-14,JackShepardTwitch,Russian,Avanzado,66120,290,19696320,1746109,87836,The Last of Us Part II
2022-09-14,코시님 (bjshaco),Korean,Avanzado,85020,186,16779735,649550,97928,League of Legends
2022-09-14,JavifC,Spanish,Aficionado,119835,94,12049830,289321,7980,Black Desert Online
2022-09-14,CallMeCarsonLIVE,English,Experto,13575,9381,131513025,4149622,1251453,Just Chatting
2022-09-14,DayoScript,Spanish,Avanzado,31215,581,18591600,846861,121947,Just Chatting
2022-09-14,staycationtg,English,Avanzado,72990,616,45828795,538843,100676,Apex Legends
2022-09-15,VanderForge,English,Novato,98010,142,14666700,406702,35342,Borderlands 3
2022-09-15,Spursito,Spanish,Experto,18270,1259,25122525,795506,232784,FIFA 20
2022-09-15,hashtag_shawrey,English,Novato,19125,628,13207740,173766,36130,FIFA 20
2022-09-15,R9Rai,English,Avanzado,71580,652,50276220,698332,77920,FIFA 20
2022-09-15,xj0nathan,French,Aficionado,115680,135,16182390,226030,14343,Call Of Duty: Modern Warfare
2022-09-15,매드라이프_ (lol_madlife),Korean,Experto,84435,946,83503785,4649093,253029,League of Legends
2022-09-15,ParadoxInteractive,English,Experto,25875,581,23262660,1283053,157360,Europa Universalis IV
2022-09-15,sweetdreams,English,Avanzado,39525,1067,50046960,809139,74114,Apex Legends
2022-09-15,randyladyman,English,Novato,76770,132,10425645,259517,51252,Guitar Hero III: Legends of Rock
2022-09-15,DavilinTV,Spanish,Aficionado,37200,283,11206935,506550,25261,Grand Theft Auto V
2022-09-15,Slimecicle,English,Experto,13320,1963,26791185,840536,305305,Among Us
2022-09-15,Maniac,French,Novato,8730,740,8922105,549172,48023,VALORANT
2022-09-16,Letshe,English,Experto,88155,3770,378068100,15048960,1085972,Fortnite
2022-09-16,Noizen,Russian,Aficionado,142605,211,31896390,2863236,14640,Heroes of the Storm
2022-09-16,Yozhyk,Russian,Avanzado,31080,946,31452105,930621,121828,FIFA 20
2022-09-16,Doublelift,English,Experto,14550,12326,188347050,4932351,1396461,League of Legends
2022-09-16,플레임__ (flamekr),Korean,Novato,10170,2084,22299750,922945,55228,League of Legends
2022-09-16,Snoxh,German,Avanzado,31290,641,21203520,427608,112207,Fortnite
2022-09-16,thegame966,Italian,Novato,121335,157,20624325,672292,27450,League of Legends
2022-09-17,xSHUMBAx,English,Aficionado,150600,76,12613650,196776,24547,Sea of Thieves
2022-09-17,Seansstream,German,Novato,187065,154,31262430,2487702,34182,Call Of Duty: Modern Warfare
2022-09-17,ErickKhanTV,English,Avanzado,41745,699,29797695,446420,115154,Call Of Duty: Modern Warfare
2022-09-17,Nikatine,English,Aficionado,77925,191,15361545,1653777,22000,Grand Theft Auto V
2022-09-17,ACdeFifa,Spanish,Novato,81540,171,14128230,216764,31672,FIFA 20
2022-09-17,ryukahr,English,Experto,39660,1331,56815185,1425323,177436,Super Mario Maker 2
2022-09-17,Donyyy,Spanish,Novato,42960,428,18560430,345789,45196,Grand Theft Auto V
2022-09-17,리포포 (chicchakunaiyo),Korean,Novato,83475,333,27376470,1203283,44344,Just Chatting
2022-09-17,zwebackhd,English,Experto,44415,1203,57883575,639382,191511,FIFA 20
2022-09-17,MrSavage,English,Experto,30390,6925,235092945,9582922,1814646,Fortnite
2022-09-17,Alienigena404,Portuguese,Novato,139185,94,17653095,964852,31647,Conan Exiles
2022-09-17,SOFILEIN,English,Novato,37185,306,11647740,1561585,43705,World of Tanks
2022-09-18,Chess,English,Experto,94155,6567,571926360,83136633,354949,Chess
2022-09-18,OverBoredGaming,English,Novato,220500,121,26791545,2587215,31935,Epic Seven
2022-09-18,JERZNetwork,English,Aficionado,67995,176,13979280,167016,19850,MLB The Show 20
2022-09-18,simonhoneydew,English,Novato,37095,739,28348500,412543,46381,Animal Crossing: New Horizons
2022-09-18,SleepingBear,English,Novato,126015,110,14265135,246087,26768,Overwatch
2022-09-18,Etup,English,Novato,179100,141,26172945,361453,55852,Warhammer Online: Age of Reckoning
2022-09-19,공룡_ (rulrudino),Korean,Avanzado,14820,674,10865730,228530,79709,Just Chatting
2022-09-19,valerie_rayne,Russian,Aficionado,115575,178,19791945,766051,15262,Heroes of Might and Magic III: The Shadow of Death
2022-09-19,TWDUniverse,English,Aficionado,3210,6691,23172120,6850183,11516,Just Chatting
2022-09-19,Classic_Christinee,English,Novato,73995,140,10948620,302488,33078,Just Chatting
2022-09-19,Veronesiii,Portuguese,Aficionado,44115,412,20916315,383511,25019,Grand Theft Auto V
2022-09-19,liawaifu,English,Novato,78270,108,9575685,445086,46830,League of Legends
2022-09-19,마골 (achon1004),Korean,Aficionado,129390,163,22307790,429729,7804,Path of Exile
2022-09-19,CarbonRH,French,Avanzado,38010,242,10344525,343120,139050,League of Legends
2022-09-20,foxdrop,English,Avanzado,37815,255,10205595,243464,138597,League of Legends
2022-09-20,Ceice,English,Experto,53580,257,16959450,946628,158941,Fortnite
2022-09-20,BenS_MTG,English,Novato,33870,1052,36493920,480624,33489,Magic: The Gathering
2022-09-20,DunkOrSlam,English,Aficionado,149910,85,13296225,99769,3558,Noita
2022-09-20,AtheneLIVE,English,Experto,13140,694,9167175,285433,209533,Just Chatting
2022-09-20,연초봄 (yeonchobom),Korean,Avanzado,20610,548,11907675,605570,62070,Just Chatting
2022-09-21,dazrbn,Spanish,Experto,57165,853,50822790,1326350,153284,Minecraft
2022-09-21,Arcadum,English,Experto,142065,1593,240160680,3522778,154454,Dungeons & Dragons
2022-09-21,asmr_kotya,English,Avanzado,33150,423,13255905,1006462,117498,ASMR
2022-09-21,Whaazz,English,Avanzado,46215,1539,71802210,2473905,101347,World of Warcraft
2022-09-21,maxim,German,Experto,81750,3099,263255085,5850305,326502,Teamfight Tactics
2022-09-21,HALtv,Italian,Avanzado,115545,583,71281695,1487901,100134,Apex Legends
2022-09-22,Amanderz,English,Aficionado,36495,350,15049515,443989,21451,Just Chatting
2022-09-22,MitchJones,English,Experto,30210,3394,109805595,2260890,492933,World of Warcraft
2022-09-22,BigJon,English,Avanzado,103020,380,48628695,3596193,112399,The Legend of Zelda: A Link to the Past
2022-09-22,셀옹 (junes82),Korean,Aficionado,80505,188,18097365,386780,12483,Romance of the Three Kingdoms XIV
2022-09-22,Regalia,English,Aficionado,74895,116,9428880,169174,12505,Overwatch
2022-09-23,GoaGilDigitalDarshan,English,Aficionado,9885,847,15608220,174432,19758,Music
2022-09-23,가재맨입니다 (subsub1006),Korean,Novato,40110,416,16808670,395948,28727,League of Legends
2022-09-23,ElOjoNinja,Spanish,Experto,86955,1726,167109540,6328924,305093,League of Legends
